index,x,y
-1,2281.55,2120.61
-1,2281.55,2120.61
-1,2279.52,2119.23
-1,2279.52,2119.23
-1,2277.36,2117.75
-1,2277.36,2117.75
-1,2275.35,2116.39
-1,2275.35,2116.39
-1,2273.33,2115.02
-1,2273.33,2115.02
-1,2271.16,2113.56
-1,2271.16,2113.56
-1,2269.12,2112.18
-1,2269.12,2112.18
-1,2267.06,2110.81
-1,2267.06,2110.81
-1,2265.02,2109.45
-1,2265.02,2109.45
-1,2262.96,2108.09
-1,2262.96,2108.09
-1,2260.75,2106.62
-1,2260.75,2106.62
-1,2258.67,2105.26
-1,2258.67,2105.26
-1,2256.59,2103.88
-1,2256.59,2103.88
-1,2254.5,2102.49
-1,2254.5,2102.49
-1,2252.42,2101.1
-1,2252.42,2101.1
-1,2250.34,2099.71
-1,2250.34,2099.71
-1,2248.26,2098.32
-1,2248.26,2098.32
-1,2246.16,2096.94
-1,2246.16,2096.94
-1,2244.07,2095.55
-1,2244.07,2095.55
-1,2241.96,2094.15
-1,2241.96,2094.15
-1,2239.87,2092.75
-1,2239.87,2092.75
-1,2237.77,2091.35
-1,2237.77,2091.35
-1,2235.83,2090.05
-1,2235.83,2090.05
-1,2233.74,2088.66
-1,2233.74,2088.66
-1,2231.64,2087.26
-1,2231.64,2087.26
-1,2229.53,2085.85
-1,2229.53,2085.85
-1,2227.43,2084.44
-1,2227.43,2084.44
-1,2225.34,2083.03
-1,2225.34,2083.03
-1,2223.26,2081.64
-1,2223.26,2081.64
-1,2221.16,2080.25
-1,2221.16,2080.25
-1,2219.07,2078.85
-1,2219.07,2078.85
-1,2216.97,2077.46
-1,2216.97,2077.46
1,2283.5,2117.72
1,2283.5,2117.72
1,2281.48,2116.36
1,2281.48,2116.36
1,2279.32,2114.89
1,2279.32,2114.89
1,2277.3,2113.52
1,2277.3,2113.52
1,2275.27,2112.16
1,2275.27,2112.16
1,2273.08,2110.7
1,2273.08,2110.7
1,2271.02,2109.33
1,2271.02,2109.33
1,2268.97,2107.96
1,2268.97,2107.96
1,2266.92,2106.61
1,2266.92,2106.61
1,2264.87,2105.23
1,2264.87,2105.23
1,2262.65,2103.76
1,2262.65,2103.76
1,2260.58,2102.39
1,2260.58,2102.39
1,2258.51,2101.01
1,2258.51,2101.01
1,2256.43,2099.62
1,2256.43,2099.62
1,2254.35,2098.23
1,2254.35,2098.23
1,2252.28,2096.83
1,2252.28,2096.83
1,2250.19,2095.43
1,2250.19,2095.43
1,2248.09,2094.04
1,2248.09,2094.04
1,2246.01,2092.65
1,2246.01,2092.65
1,2243.92,2091.26
1,2243.92,2091.26
1,2241.83,2089.85
1,2241.83,2089.85
1,2239.74,2088.45
1,2239.74,2088.45
1,2237.79,2087.14
1,2237.79,2087.14
1,2235.7,2085.74
1,2235.7,2085.74
1,2233.6,2084.34
1,2233.6,2084.34
1,2231.5,2082.93
1,2231.5,2082.93
1,2229.4,2081.53
1,2229.4,2081.53
1,2227.29,2080.11
1,2227.29,2080.11
1,2225.21,2078.72
1,2225.21,2078.72
1,2223.11,2077.33
1,2223.11,2077.33
1,2221.02,2075.93
1,2221.02,2075.93
1,2218.92,2074.54
1,2218.92,2074.54
